AFSL,AFSL.NS,Abans Financial Services Limited
AGARIND,AGARIND.NS,Agarwal Industrial Corporation Limited
AGARWALEYE,AGARWALEYE.NS,Dr. Agarwal's Health Care Limited
AGI,AGI.NS,AGI Greenpac Limited
AGIIL,AGIIL.NS,Agi Infra Limited
AGRITECH,AGRITECH.NS,Agri-Tech (India) Limited
AGROPHOS,AGROPHOS.NS,Agro Phos India Limited
AHCL,AHCL.NS,Anlon Healthcare Limited
AHLADA,AHLADA.NS,Ahlada Engineers Limited
AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited
AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AHLWEST,AHLWEST.NS,Asian Hotels (West) Limited
AIAENG,AIAENG.NS,AIA Engineering Limited
AIIL,AIIL.NS,Authum Investment & Infrastructure Limited
AIRAN,AIRAN.NS,Airan Limited
AIROLAM,AIROLAM.NS,Airo Lam limited
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited
AJAXENGG,AJAXENGG.NS,Ajax Engineering Limited
AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited
AJOONI,AJOONI.NS,Ajooni Biotech Limited
AKASH,AKASH.NS,Akash Infra-Projects Limited
AKCAPIT,AKCAPIT.NS,AK Capital Services Limited
AKG,AKG.NS,Akg Exim Limited
AKI,AKI.NS,AKI India Limited
AKSHAR,AKSHAR.NS,Akshar Spintex Limited
AKSHARCHEM,AKSHARCHEM.NS,AksharChem India Limited
AKSHOPTFBR,AKSHOPTFBR.NS,Aksh Optifibre Limited
AKUMS,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited
ALANKIT,ALANKIT.NS,Alankit Limited
ALBERTDAVD,ALBERTDAVD.NS,Albert David Limited
ALEMBICLTD,ALEMBICLTD.NS,Alembic Limited
ALGOQUANT,ALGOQUANT.NS,Algoquant Fintech Limited
ALICON,ALICON.NS,Alicon Castalloy Limited
ALIVUS,ALIVUS.NS,Alivus Life Sciences Limited
ALKALI,ALKALI.NS,Alkali Metals Limited
ALKEM,ALKEM.NS,Alkem Laboratories Limited
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited
ALLDIGI,ALLDIGI.NS,Alldigi Tech Limited
ALLTIME,ALLTIME.NS,All Time Plastics Limited
ALMONDZ,ALMONDZ.NS,Almondz Global Securities Limited
ALOKINDS,ALOKINDS.NS,Alok Industries Limited
ALPA,ALPA.NS,Alpa Laboratories Limited
ALPHAGEO,ALPHAGEO.NS,Alphageo (India) Limited
AMAGI,AMAGI.NS,Amagi Media Labs Limited
AMANTA,AMANTA.NS,Amanta Healthcare Limited
AMBALALSA,AMBALALSA.NS,Ambalal Sarabhai Enterprises Limited
AMBER,AMBER.NS,Amber Enterprises India Limited
AMBICAAGAR,AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited
AMBIKCO,AMBIKCO.NS,Ambika Cotton Mills Limited
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited
AMDIND,AMDIND.NS,AMD Industries Limited
AMIRCHAND,AMIRCHAND.NS,Amir Chand Jagdish Kumar (Exports) Limited
AMJLAND,AMJLAND.NS,Amj Land Holdings Limited
AMNPLST,AMNPLST.NS,Amines & Plasticizers Limited
AMRUTANJAN,AMRUTANJAN.NS,Amrutanjan Health Care Limited
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Limited
ANANTRAJ,ANANTRAJ.NS,Anant Raj Limited
ANDHRAPAP,ANDHRAPAP.NS,ANDHRA PAPER LIMITED
ANDHRSUGAR,ANDHRSUGAR.NS,The Andhra Sugars Limited
ANGELONE,ANGELONE.NS,Angel One Limited
ANIKINDS,ANIKINDS.NS,Anik Industries Limited
ANKITMETAL,ANKITMETAL.NS,Ankit Metal & Power Limited
ANMOL,ANMOL.NS,Anmol India Limited
ANSALAPI,ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANTELOPUS,ANTELOPUS.NS,Antelopus Selan Energy Limited
ANTGRAPHIC,ANTGRAPHIC.NS,Antarctica Limited
ANTHEM,ANTHEM.NS,Anthem Biosciences Limited
ANUHPHR,ANUHPHR.NS,Anuh Pharma Limited
ANUP,ANUP.NS,The Anup Engineering Limited
ANURAS,ANURAS.NS,Anupam Rasayan India Limited
APARINDS,APARINDS.NS,Apar Industries Limited
APCL,APCL.NS,Anjani Portland Cement Limited
APCOTEXIND,APCOTEXIND.NS,Apcotex Industries Limited
APEX,APEX.NS,Apex Frozen Foods Limited
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited
APOLLO,APOLLO.NS,Apollo Micro Systems Limited
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
APOLLOPIPE,APOLLOPIPE.NS,Apollo Pipes Limited
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited
APOLSINHOT,APOLSINHOT.NS,Apollo Sindoori Hotels Limited
APTECHT,APTECHT.NS,Aptech Limited
APTUS,APTUS.NS,Aptus Value Housing Finance India Limited
AQYLON,AQYLON.NS,Aqylon Nexus Limited
ARCHIDPLY,ARCHIDPLY.NS,Archidply Industries Limited
ARCHIES,ARCHIES.NS,Archies Limited
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Limited
ARENTERP,ARENTERP.NS,Rajdarshan Industries Limited
ARFIN,ARFIN.NS,Arfin India Limited
ARIES,ARIES.NS,Aries Agro Limited
ARIHANT,ARIHANT.NS,Arihant Foundations & Housing Limited
ARIHANTCAP,ARIHANTCAP.NS,Arihant Capital Markets Limited
ARIHANTSUP,ARIHANTSUP.NS,Arihant Superstructures Limited
ARIS,ARIS.NS,Arisinfra Solutions Limited
ARKADE,ARKADE.NS,Arkade Developers Limited
ARMANFIN,ARMANFIN.NS,Arman Financial Services Limited
AROGRANITE,AROGRANITE.NS,Aro Granite Industries Limited
ARROWGREEN,ARROWGREEN.NS,Arrow Greentech Limited
ARSHIYA,ARSHIYA.NS,Arshiya Limited
ARSSBL,ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited
ARTEMISMED,ARTEMISMED.NS,Artemis Medicare Services Limited
ARTNIRMAN,ARTNIRMAN.NS,Art Nirman Limited
ARVEE,ARVEE.NS,Arvee Laboratories (India) Limited
ARVIND,ARVIND.NS,Arvind Limited
ARVINDFASN,ARVINDFASN.NS,Arvind Fashions Limited
ARVSMART,ARVSMART.NS,Arvind SmartSpaces Limited
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Limited
ASAHISONG,ASAHISONG.NS,Asahi Songwon Colors Limited
ASAL,ASAL.NS,Automotive Stampings and Assemblies Limited
ASALCBR,ASALCBR.NS,Associated Alcohols & Breweries Ltd.
ASHAPURMIN,ASHAPURMIN.NS,Ashapura Minechem Limited
ASHIANA,ASHIANA.NS,Ashiana Housing Limited
ASHIKA,ASHIKA.NS,Ashika Credit Capital Limited
ASHIMASYN,ASHIMASYN.NS,Ashima Limited
ASHOKA,ASHOKA.NS,Ashoka Buildcon Limited
ASHOKAMET,ASHOKAMET.NS,Ashoka Metcast Limited
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited
ASIANENE,ASIANENE.NS,Asian Energy Services Limited
ASIANHOTNR,ASIANHOTNR.NS,Asian Hotels (North) Limited
ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited
ASIANTILES,ASIANTILES.NS,Asian Granito India Limited
ASKAUTOLTD,ASKAUTOLTD.NS,ASK Automotive Limited
ASMS,ASMS.NS,Avio Smart Market Stack Limited
ASPINWALL,ASPINWALL.NS,Aspinwall and Company Limited
ASTAR,ASTAR.NS,Asian Star Company Limited
ASTEC,ASTEC.NS,Astec LifeSciences Limited
ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited
ASTRAL,ASTRAL.NS,Astral Limited
ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Limited
ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited
ASTRON,ASTRON.NS,Astron Paper & Board Mill Limited
ATALREAL,ATALREAL.NS,Atal Realtech Limited
ATAM,ATAM.NS,Atam Valves Limited
ATGL,ATGL.NS,Adani Total Gas Limited
ATHERENERG,ATHERENERG.NS,Ather Energy Limited
ATL,ATL.NS,Allcargo Terminals Limited
ATLANTAA,ATLANTAA.NS,ATLANTAA LIMITED
ATLANTAELE,ATLANTAELE.NS,Atlanta Electricals Limited
ATLASCYCLE,ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
ATUL,ATUL.NS,Atul Limited
ATULAUTO,ATULAUTO.NS,Atul Auto Limited
AUBANK,AUBANK.NS,AU Small Finance Bank Limited
AURIGROW,AURIGROW.NS,Auri Grow India Limited
AURIONPRO,AURIONPRO.NS,Aurionpro Solutions Limited
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited
AURUM,AURUM.NS,Aurum PropTech Limited
AUSOMENT,AUSOMENT.NS,Ausom Enterprise Limited
AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited
AUTOIND,AUTOIND.NS,Autoline Industries Limited
AVADHSUGAR,AVADHSUGAR.NS,Avadh Sugar & Energy Limited
AVALON,AVALON.NS,Avalon Technologies Limited
AVANTEL,AVANTEL.NS,Avantel Limited
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Limited
AVG,AVG.NS,AVG Logistics Limited
AVL,AVL.NS,Aditya Vision Limited
AVONMORE,AVONMORE.NS,Avonmore Capital & Management Services Limited
AVROIND,AVROIND.NS,AVRO INDIA LIMITED
AVTNPL,AVTNPL.NS,AVT Natural Products Limited
AWFIS,AWFIS.NS,Awfis Space Solutions Limited
AWHCL,AWHCL.NS,Antony Waste Handling Cell Limited
AWL,AWL.NS,AWL Agri Business Limited
AXISBANK,AXISBANK.NS,Axis Bank Limited
AXISCADES,AXISCADES.NS,AXISCADES Technologies Limited
AXITA,AXITA.NS,Axita Cotton Limited
AYE,AYE.NS,Aye Finance Limited
AYMSYNTEX,AYMSYNTEX.NS,AYM Syntex Limited
AZAD,AZAD.NS,Azad Engineering Limited
BAFNAPH,BAFNAPH.NS,Bafna Pharmaceuticals Limited
BAGFILMS,BAGFILMS.NS,B.A.G Films and Media Limited
BAIDFIN,BAIDFIN.NS,Baid Finserv Limited
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJCON,BAJAJCON.NS,Bajaj Consumer Care Limited
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Limited
BAJAJHCARE,BAJAJHCARE.NS,Bajaj Healthcare Limited
BAJAJHFL,BAJAJHFL.NS,Bajaj Housing Finance Limited
BAJAJHIND,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
BAJAJINDEF,BAJAJINDEF.NS,Indef Manufacturing Limited
BAJAJST,BAJAJST.NS,Bajaj Steel Industries Limited
BAJEL,BAJEL.NS,Bajel Projects Limited
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited
BALAJEE,BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE,BALAJITELE.NS,Balaji Telefilms Limited
BALAMINES,BALAMINES.NS,Balaji Amines Limited
BALAXI,BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,BALKRISHNA.NS,Balkrishna Paper Mills Limited
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Limited
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Company Limited
BALPHARMA,BALPHARMA.NS,Bal Pharma Limited
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Limited
BALUFORGE,BALUFORGE.NS,Balu Forge Industries Limited
BANARBEADS,BANARBEADS.NS,Banaras Beads Limited
BANARISUG,BANARISUG.NS,Bannari Amman Sugars Limited
BANCOINDIA,BANCOINDIA.NS,Banco Products (I) Limited
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Limited
BANG,BANG.NS,Bang Overseas Limited
BANKA,BANKA.NS,Banka BioLoo Limited
BANKBARODA,BANKBARODA.NS,Bank of Baroda
BANKINDIA,BANKINDIA.NS,Bank of India
BANSALWIRE,BANSALWIRE.NS,Bansal Wire Industries Limited
BANSWRAS,BANSWRAS.NS,Banswara Syntex Limited
BASF,BASF.NS,BASF India Limited
BASML,BASML.NS,Bannari Amman Spinning Mills Limited
BATAINDIA,BATAINDIA.NS,Bata India Limited
BATLIBOI,BATLIBOI.NS,Batliboi Limited
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Limited
BBL,BBL.NS,Bharat Bijlee Limited
BBOX,BBOX.NS,Black Box Limited
BBTC,BBTC.NS,The Bombay Burmah Trading Corporation Limited
BBTCL,BBTCL.NS,B&B Triplewall Containers Limited
BCG,BCG.NS,Brightcom Group Limited
BCLIND,BCLIND.NS,Bcl Industries Limited
BCONCEPTS,BCONCEPTS.NS,Brand Concepts Limited
BCPL,BCPL.NS,BCPL Railway Infrastructure Limited
BDL,BDL.NS,Bharat Dynamics Limited
BEARDSELL,BEARDSELL.NS,Beardsell Limited
BECTORFOOD,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
BEDMUTHA,BEDMUTHA.NS,Bedmutha Industries Limited
BEEKAY,BEEKAY.NS,Beekay Steel Industries Limited
BEL,BEL.NS,Bharat Electronics Limited
BELLACASA,BELLACASA.NS,Bella Casa Fashion & Retail Limited
BELRISE,BELRISE.NS,Belrise Industries Limited
BEML,BEML.NS,BEML Limited
BENGALASM,BENGALASM.NS,Bengal & Assam Company Limited
BEPL,BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT,BERGEPAINT.NS,Berger Paints (I) Limited
BESTAGRO,BESTAGRO.NS,Best Agrolife Limited
BETA,BETA.NS,Beta Drugs Limited
BFINVEST,BFINVEST.NS,BF Investment Limited
BFUTILITIE,BFUTILITIE.NS,BF Utilities Limited
BGRENERGY,BGRENERGY.NS,BGR Energy Systems Limited
BHAGCHEM,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited
BHAGERIA,BHAGERIA.NS,Bhageria Industries Limited
BHAGYANGR,BHAGYANGR.NS,Bhagyanagar India Limited
BHANDARI,BHANDARI.NS,Bhandari Hosiery Exports Limited
BHARATCOAL,BHARATCOAL.NS,Bharat Coking Coal Limited
BHARATFORG,BHARATFORG.NS,Bharat Forge Limited
BHARATGEAR,BHARATGEAR.NS,Bharat Gears Limited
BHARATRAS,BHARATRAS.NS,Bharat Rasayan Limited
BHARATSE,BHARATSE.NS,Bharat Seats Limited
BHARATWIRE,BHARATWIRE.NS,Bharat Wire Ropes Limited
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited
BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Limited
BHEL,BHEL.NS,Bharat Heavy Electricals Limited
BI,BI.NS,Bilcare Limited
BIGBLOC,BIGBLOC.NS,Bigbloc Construction Limited
BIKAJI,BIKAJI.NS,Bikaji Foods International Limited
BIL,BIL.NS,Bhartiya International Limited
BILVYAPAR,BILVYAPAR.NS,BIL VYAPAR LIMITED
BIMETAL,BIMETAL.NS,Bimetal Bearings Limited
BIOCON,BIOCON.NS,Biocon Limited
BIOFILCHEM,BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,BIRLACABLE.NS,Birla Cable Limited
BIRLACORPN,BIRLACORPN.NS,Birla Corporation Limited
BIRLAMONEY,BIRLAMONEY.NS,Aditya Birla Money Limited
BIRLANU,BIRLANU.NS,BirlaNu Limited
BIRLAPREC,BIRLAPREC.NS,Birla Precision Technologies Limited
BLACKBUCK,BLACKBUCK.NS,BLACKBUCK LIMITED
BLACKROSE,BLACKROSE.NS,Black Rose Inds. Limited
BLAL,BLAL.NS,BEML Land Assets Limited
BLBLIMITED,BLBLIMITED.NS,BLB Limited
BLIL,BLIL.NS,Balmer Lawrie Investments Limited
BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Limited
BLKASHYAP,BLKASHYAP.NS,B. L. Kashyap and Sons Limited
BLS,BLS.NS,BLS International Services Limited
BLSE,BLSE.NS,BLS E-Services Limited
BLUECOAST,BLUECOAST.NS,Blue Coast Hotels Limited
BLUEDART,BLUEDART.NS,Blue Dart Express Limited
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Limited
BLUESTARCO,BLUESTARCO.NS,Blue Star Limited
BLUESTONE,BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited
BLUSPRING,BLUSPRING.NS,Bluspring Enterprises Limited
BMWVENTLTD,BMWVENTLTD.NS,BMW Ventures Limited
BNAGROCHEM,BNAGROCHEM.NS,BN Agrochem Limited
BNALTD,BNALTD.NS,B & A Limited
BODALCHEM,BODALCHEM.NS,Bodal Chemicals Limited
BOHRAIND,BOHRAIND.NS,Bohra Industries Limited
BOMDYEING,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited
BONLON,BONLON.NS,Bonlon Industries Limited
BORANA,BORANA.NS,Borana Weaves Limited
BOROLTD,BOROLTD.NS,Borosil Limited
BORORENEW,BORORENEW.NS,BOROSIL RENEWABLES LIMITED
BOROSCI,BOROSCI.NS,Borosil Scientific Limited
BOSCH-HCIL,BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD,BOSCHLTD.NS,Bosch Limited
BPCL,BPCL.NS,Bharat Petroleum Corporation Limited
BPL,BPL.NS,BPL Limited
BRIGADE,BRIGADE.NS,Brigade Enterprises Limited
BRIGHOTEL,BRIGHOTEL.NS,Brigade Hotel Ventures Limited
BRITANNIA,BRITANNIA.NS,Britannia Industries Limited
BRNL,BRNL.NS,Bharat Road Network Limited
BROOKS,BROOKS.NS,Brooks Laboratories Limited
BSE,BSE.NS,BSE Limited
BSHSL,BSHSL.NS,Bombay Super Hybrid Seeds Limited
BSL,BSL.NS,BSL Limited
BSOFT,BSOFT.NS,BIRLASOFT LIMITED
BTML,BTML.NS,Bodhi Tree Multimedia Limited
BTTL,BTTL.NS,Bhilwara Technical Textiles Limited
BUILDPRO,BUILDPRO.NS,Shankara Buildpro Limited
BUTTERFLY,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
BVCL,BVCL.NS,Barak Valley Cements Limited
BYKE,BYKE.NS,The Byke Hospitality Ltd
CALSOFT,CALSOFT.NS,California Software Company Limited
CAMLINFINE,CAMLINFINE.NS,Camlin Fine Sciences Limited
CAMPUS,CAMPUS.NS,Campus Activewear Limited
CAMS,CAMS.NS,Computer Age Management Services Limited
CANBK,CANBK.NS,Canara Bank
CANFINHOME,CANFINHOME.NS,Can Fin Homes Limited
CANHLIFE,CANHLIFE.NS,Canara HSBC Life Insurance Company Limited
CANTABIL,CANTABIL.NS,Cantabil Retail India Limited
CAPACITE,CAPACITE.NS,Capacit'e Infraprojects Limited
CAPILLARY,CAPILLARY.NS,Capillary Technologies India Limited
CAPITALSFB,CAPITALSFB.NS,Capital Small Finance Bank Limited
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Limited
CAPTRUST,CAPTRUST.NS,Capital Trust Limited
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Limited
CARERATING,CARERATING.NS,CARE Ratings Limited
CARRARO,CARRARO.NS,Carraro India Limited
CARTRADE,CARTRADE.NS,Cartrade Tech Limited
CARYSIL,CARYSIL.NS,CARYSIL LIMITED
CASTROLIND,CASTROLIND.NS,Castrol India Limited
CCAVENUE,CCAVENUE.NS,AvenuesAI Limited
CCCL,CCCL.NS,Consolidated Construction Consortium Limited
CCHHL,CCHHL.NS,Country Club Hospitality & Holidays Limited
CCL,CCL.NS,CCL Products (India) Limited
CDSL,CDSL.NS,Central Depository Services (India) Limited
CEATLTD,CEATLTD.NS,CEAT Limited
CEIGALL,CEIGALL.NS,Ceigall India Limited
CEINSYS,CEINSYS.NS,Ceinsys Tech Limited
CELEBRITY,CELEBRITY.NS,Celebrity Fashions Limited
CELLO,CELLO.NS,Cello World Limited
CEMPRO,CEMPRO.NS,Cemindia Projects Limited
CENTENKA,CENTENKA.NS,Century Enka Limited
CENTEXT,CENTEXT.NS,Century Extrusions Limited
CENTRALBK,CENTRALBK.NS,Central Bank of India
CENTRUM,CENTRUM.NS,Centrum Capital Limited
CENTUM,CENTUM.NS,Centum Electronics Limited
CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Limited
CERA,CERA.NS,Cera Sanitaryware Limited
CEREBRAINT,CEREBRAINT.NS,Cerebra Integrated Technologies Limited
CESC,CESC.NS,CESC Limited
CEWATER,CEWATER.NS,Concord Enviro Systems Limited
CGCL,CGCL.NS,Capri Global Capital Limited
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited
CHALET,CHALET.NS,Chalet Hotels Limited
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited
CHEMBOND,CHEMBOND.NS,Chembond Material Technologies Limited
CHEMBONDCH,CHEMBONDCH.NS,Chembond Chemicals Limited
CHEMCON,CHEMCON.NS,Chemcon Speciality Chemicals Limited
CHEMFAB,CHEMFAB.NS,Chemfab Alkalis Limited
CHEMPLASTS,CHEMPLASTS.NS,Chemplast Sanmar Limited
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Limited
CHEVIOT,CHEVIOT.NS,Cheviot Company Limited
CHOICEIN,CHOICEIN.NS,Choice International Limited
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
CIEINDIA,CIEINDIA.NS,CIE Automotive India Limited
CIFL,CIFL.NS,Capital India Finance Limited
CINELINE,CINELINE.NS,Cineline India Limited
CINEVISTA,CINEVISTA.NS,Cinevista Limited
CIPLA,CIPLA.NS,Cipla Limited
CLEAN,CLEAN.NS,Clean Science and Technology Limited
CLEANMAX,CLEANMAX.NS,Clean Max Enviro Energy Solutions Limited
CLEDUCATE,CLEDUCATE.NS,CL Educate Limited
CLSEL,CLSEL.NS,Chaman Lal Setia Exports Limited
CMPDI,CMPDI.NS,Central Mine Planning & Design Institute Limited
CMRGREEN,CMRGREEN.NS,CMR Green Technologies Limited
CMSINFO,CMSINFO.NS,CMS Info Systems Limited
CNL,CNL.NS,Creative Newtech Limited
COALINDIA,COALINDIA.NS,Coal India Limited
COASTCORP,COASTCORP.NS,Coastal Corporation Limited
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Limited
COCKERILL,COCKERILL.NS,John Cockerill India Limited
COFFEEDAY,COFFEEDAY.NS,Coffee Day Enterprises Limited
COFORGE,COFORGE.NS,Coforge Limited
COHANCE,COHANCE.NS,Cohance Lifesciences Limited
COLPAL,COLPAL.NS,Colgate Palmolive (India) Limited
COMFINTE,COMFINTE.NS,Comfort Intech Limited
COMPINFO,COMPINFO.NS,Compuage Infocom Limited
COMPUSOFT,COMPUSOFT.NS,Compucom Software Limited
COMSYN,COMSYN.NS,Commercial Syn Bags Limited
CONCOR,CONCOR.NS,Container Corporation of India Limited
CONCORDBIO,CONCORDBIO.NS,Concord Biotech Limited
CONFIPET,CONFIPET.NS,Confidence Petroleum India Limited
